Valve No,Description
1,25 mm LBV LPG gas inlet isolation
2,25 mm LPG gas governor
3,20 mm gas solenoid valve
4,20 mm gas IV boiler 1
5,20 mm gas IV boiler 2
6,15 mm gas purge point
7,28 mm IV boiler 1 flow
8,15 mm PRV boiler 1 flow
9,15 mm drain cock boiler 1
10,28 mm NRV boiler 1 return
11,UPS 15-50 return pump boiler 1
12,28 mm IV boiler 2 flow
13,15 mm LBV boiler 2
14,15 mm drain cock boiler 2 return
15,28 mm NRV boiler 2 return
16,UPS 15-50 return pump boiler 2
17,40 mm IV primary return
18,40 mm Y type strainer primary return
19,40 mm IV primary return
20,15 mm IV low loss header drain
21,28 mm IV to 35 ltr expansion vessel
22,Primary flow return sensor
23,22 mm IV (flushing point)
24,28 mm DRV cottage 3 return
25,28 mm DRV cottage 1 return
26,28 mm DRV cottage 2 return
27,42 mm IV primary flow
28,25 mm PRV low loss header
29,15 mm IV make up unit inlet
30,15 mm service valve make up unit outlet
31,22 mm IV primary flow flushing/dosing point
32,Temp sensor primary flow
33,25 mm IV MCWS (poly)
34,28 mm double check valve
35,15 mm drain point MCWS
36,28 mm IV to expansion vessels
37,28 mm IV primary flow to cylinder
38,15 mm NRV HWSR cylinder 3
39,Future connection BCWS cyl 3
40,22 mm IV HWSR cylinder 3
41,Temp sensor HWSR cyl 3
42,15 mm Y strainer HWSR cyl 3
43,HWSR pump cyl 3
44,15 mm IV HWSR cyl 3
45,28 mm IV heating flow cyl 3
46,Temp sensor heating flow cottage 3
47,2 port valve heating flow cottage 3
48,22 mm IV/NRV BCWS cyl 3
49,Temp/pressure relief valve cyl 3
50,8 bar PRV BCWS cyl 3
51,15 mm drain point cyl 3
52,Quick fill loop IV cyl 3
53,Quick fill loop IV cyl 3
54,Pressure gauge primary heating cyl 3
55,22 mm lockshield valve cyl 3
56,15 mm primary heating drain cyl 3
57,Primary heating pump CW isolation valves
58,22 mm 2 port valve primary calorifier cyl 3
59,22 mm ADVO valve cyl 3
60,Primary return isolation cyl 3
61,15 mm LBV serving make up unit
62,22 mm LBV BCWS to cottage 3
63,28 mm IV HWS to cottage 3
64,Temp sensor HWS cottage 3
65,15 mm drain point cylinder 3 coil
66,15 mm IV cylinder 2 HWSR
67,15 mm NRV cylinder 2 HWSR
68,15 mm Y strainer cylinder 2 HWSR
69,15 mm HWSR pump cylinder 2
70,15 mm IV HWSR cylinder 2
71,15 mm PRV cylinder 1 heating
72,28 mm IV primary heating cylinder 2
73,15 mm PRV primary heating cylinder 2
74,22 mm primary heating cylinder 2 system
75,28 mm primary pump CW cylinder 2
76,22 mm IV/NRV BCWS to cylinder 2
77,22 mm PRV cylinder 2
78,Temp/PRV cylinder 2
79,Quick fill IV cylinder 2
80,Quick fill IV cylinder 2
81,28 mm IV HWS cylinder 2
82,Temp sensor HWS cylinder 2
83,28 mm BCWS cottage 2
84,28 mm heating 2 port valve cylinder 2
85,22 mm lockshield valve cylinder 2
86,Pressure gauge cyl 2
87,28 mm 2 port valve cylinder 2 coil
88,15 mm drain valve cylinder 2 coil
89,22 mm ADVO valve cylinder 2
90,22 mm IV cylinder 2 primary return
91,15 mm IV drain point cylinder 2 coil
92,Temp sensor HWSR cylinder 2
93,28 mm IV cottage 1 BCWS
94,Temp sensor HWSR cylinder 1
95,28 mm IV HWS cylinder 1
96,Temp sensor HWS cylinder 1
97,Temp sensor HTG cylinder 2
98,Temp sensor HTG cylinder 1
99,22 mm IV heating cottage 1
100,22 mm IV/NRV BCWS cylinder 1
101,22 mm PRV BCWS cylinder 1
102,Temp/pressure relief valve cylinder 1
103,28 mm 2 port valve HTG cylinder 1
104,Quick fill IV cylinder 1
105,Quick fill IV cylinder 1
106,PRV HTG cylinder 1
107,Primary pump cylinder 1 CW IVs
108,Pressure gauge cyl 1
109,22 mm lockshield valve cylinder 1
110,Primary coil 2 port valve cylinder 1
111,22 mm ADVO valve cylinder 1
112,22 mm primary return IV cylinder 1
113,15 mm coil drain point cylinder 1
114,15 mm drain point cylinder 2
115,15 mm primary return IV cylinder 1
116,28 mm IV HTG cottage 1
117,15 mm cylinder 1 drain
118,42 mm IV boosted cold out
119,54 mm IV water storage tank
120,22 mm water tank drain point
121,28 mm water meter
122,28 mm water filter
123,Water softener
124,Tank ball valve
